train_loss,val_loss,quality,noise_rem,transient,snr_before,snr_after,snr_improvement,si_sdr_before,si_sdr_after,si_sdr_improvement,pesq,stoi
-15.767348679937895,-18.50405185719245,80.07590141725004,66.84360475136272,74.16793554531878,14.226435817514089,19.70845663289933,5.482020815385243,14.23195936686022,19.494708106552824,5.2627487396926025,2.1054017424583433,0.8923163771629333
-19.113812326253214,-19.421522670505166,82.15165505372148,71.90022041432901,80.84577241599199,14.2859332097844,20.456592825227702,6.170659615443303,14.291633465419892,20.260194603698256,5.968561138278364,2.349648690223694,0.9071044564247132
-19.84341368380981,-19.6340444741212,82.498124883416,73.3824904399796,81.8166904400007,13.96516008426531,20.61017142191156,6.645011337646247,13.970211026992072,20.42763682161824,6.457425794626168,2.2789098978042603,0.8985534369945526
-20.05974766272533,-20.279134278886772,83.267788569682,74.6950786692785,82.30318615450979,14.09093199460385,21.215998494635397,7.125066500031546,14.09552149620155,21.041076086467985,6.945554590266433,2.3898149728775024,0.9035869181156159
-20.31630403369288,-20.498970457058892,83.78728957905683,75.2667533722847,83.05482319046324,14.205477216064466,21.443434423481275,7.237957207416808,14.211044540256905,21.27371438866354,7.062669848406634,2.503517246246338,0.9060858130455017
-20.548867673059053,-20.444746737039182,84.0031873790375,76.3799118365104,84.31475170666324,14.078416278883621,21.34048000655508,7.2620637276714595,14.08410880683101,21.175295672338383,7.091186865507371,2.529949355125427,0.9133326530456543
-20.741922512084624,-20.554180015029843,84.21572480988894,76.10275778609716,84.098074122555,14.363309718455955,21.440098767457794,7.076789049001841,14.36995048737258,21.281885813100644,6.911935325728065,2.542635416984558,0.916419368982315
-20.828315870294087,-20.829257606532725,84.47310823063039,76.60582409383103,84.38823650495287,14.1688277739951,21.685303674036817,7.516475900041717,14.174754702849128,21.53161478660801,7.356860083758883,2.5457770586013795,0.9180367469787598
-21.071066117739374,-20.690784175744216,84.53371200627464,77.53682281441388,84.99388699214214,13.853120876986505,21.54024692640906,7.687126049422559,13.859231118817934,21.388095285321683,7.528864166503748,2.6241644859313964,0.9185177743434906
-21.23906783740732,-20.930257149369115,84.78518170988961,77.49423245468734,85.22290237875158,14.043835680754718,21.780551284783446,7.736715604028727,14.04763839156234,21.630661641304723,7.583023249742381,2.596239972114563,0.9206989049911499
-21.245507391570488,-21.047102145934375,84.94348641727747,77.58419719026742,85.29868000792138,14.15782235672274,21.883143130725276,7.725320774002537,14.161420843162306,21.734513931472236,7.573093088309932,2.5791221857070923,0.9174597144126893
-21.344612144971197,-21.096005535373013,84.8622537083737,78.11538624742882,85.27686911857427,13.971184202382146,21.935976870840957,7.964792668458812,13.97673483830438,21.784856033819754,7.808121195515374,2.523853135108948,0.9143430769443512
-21.43376933962484,-21.366485700384747,85.20687748835637,78.2390656071484,85.7894691625544,14.168464369266943,22.18831373311985,8.019849363852908,14.173880284885549,22.05013646230475,7.876256177419203,2.7188952922821046,0.9265207588672638
-21.398440792213513,-21.110979444525213,85.10500586269843,78.1186182620511,86.3087272149484,14.16419103543307,21.90697429297603,7.742783257542959,14.169596212530507,21.79165218818157,7.622055975651061,2.705343770980835,0.9221227407455445
-21.664930737471277,-21.240145507720182,85.40447170485065,78.39806837446234,86.04395033392086,14.15178399510495,22.03763254737689,7.885848552271943,14.157437335445433,21.905942204705372,7.748504869259939,2.725444293022156,0.9274197041988372
-21.42380719924275,-21.140960821944677,85.37899775657554,78.42834847861565,86.3645989723832,14.226435817514089,21.93804365288315,7.711607835369061,14.23195936686022,21.810766037106,7.578806670245778,2.6960801124572753,0.9221351027488709
-21.827024018839946,-21.431052212892364,85.56205343314049,78.36882542286233,86.31445474715304,14.2859332097844,22.219343549749823,7.933410339965425,14.291633465419892,22.09002606417459,7.798392598754698,2.7291403293609617,0.9295614361763
-21.82010865060589,-21.197116118211014,85.44537093707376,78.96964337440431,86.74177070558329,13.96516008426531,21.982234286355272,8.017074202089962,13.970211026992072,21.857090393633502,7.886879366641428,2.6070297002792358,0.9187213540077209
-21.686008862302273,-21.54304940183305,85.54512454521686,79.01480135509652,86.39757272428547,14.09093199460385,22.345654576630455,8.254722582026607,14.09552149620155,22.21605040435659,8.120528908155041,2.6232168912887572,0.918152779340744
-21.64389806306815,-21.552474940966817,85.64661143705983,78.83620298908204,86.68703801279554,14.205477216064466,22.33186212735848,8.126384911294013,14.211044540256905,22.21609669588925,8.005052155632342,2.709130334854126,0.917617654800415
